"GG Langtext","DST Langtext","Förderprogramm","Postleitzahl","Ausbezahlte Fördersumme","Anzahl der Förderfälle","jahr"
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1170",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1160",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1140",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1210",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1150",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1140",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1170",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1020",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1220",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1220",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1120",2890.11,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1120",2890.11,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1210",3000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1120",2890.11,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Wiener Bildungsgrätzln","1120",2890.11,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Wienweite spezielle Angebote (zentral)","1090",235000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1040",37800,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1120",9720,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1040",19000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1170",32400,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1060",21000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1030",10365,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1140",6500,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1030",1055,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1040",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1030",1650,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1150",1310,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1040",1520,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1030",8800,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1220",1000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1080",6000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1030",1800,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Maßnahmen, Projekten und gemeinnützigen Organisationen im LGBTIQ-Bereich","1160",5000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1130",103936,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1150",460200,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1070",299000,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Förderung von Einrichtungen der Erwachsenenbildung und außerschulischen Bildungsangeboten","1090",4106760,1,2024
"Bildung, Jugend, Integration und Transparenz","Bildung und Jugend","Initiative Erwachsenenbildung","1150",306800,1,2024
